name,ingredients,prep_time,instructions,difficulty,category,servings,rating,times_cooked,last_cooked
Boiled Egg,"2 Eggs, 1 Cup Water",9,Boil in 100 Degree Celsius,Easy,Breakfast,1,,0,
Grilled Cheese,"1 Slice Cheese, 2 Toast",4,Grill Cheese Sandwich on Pan,Easy,Breakfast,1,,0,
Nesquick Cereal,"1 Cup Milk, 1 Cup Cereal",2,Put in a bowl together,Easy,Breakfast,1,4,0,
Scrambled Eggs,"3 Eggs, 1 tbsp Butter, Salt",5,Whisk eggs then cook on low heat stirring constantly,Easy,Breakfast,2,5,0,
Toast with Peanut Butter,"2 Slices Bread, 2 tbsp Peanut Butter",3,Toast bread then spread peanut butter on top,Easy,Breakfast,1,4,0,
Pasta with Butter,"2 Cups Pasta, 2 tbsp Butter, Salt",15,Boil pasta until soft then drain and mix with butter,Easy,Lunch,2,3,0,
Cheese Omelette,"3 Eggs, 1 Slice Cheese, Salt",7,Whisk eggs pour into pan then add cheese and fold,Easy,Breakfast,1,4,0,
Tuna Sandwich,"1 Can Tuna, 2 Slices Bread, 1 tbsp Mayo",5,Mix tuna with mayo then spread on bread,Easy,Lunch,1,3,0,
Instant Noodles,"1 Pack Noodles, 2 Cups Water",5,Boil water add noodles cook for 3 minutes then add seasoning,Easy,Lunch,1,2,0,
Banana with Honey,"2 Bananas, 1 tbsp Honey",2,Slice bananas and drizzle honey on top,Easy,Breakfast,1,5,0,
Grilled Chicken,"2 Chicken Breasts, Salt, Pepper, 1 tbsp Oil",25,Season chicken then grill on medium heat for 12 minutes each side,Medium,Dinner,2,5,0,
Caesar Salad,"2 Cups Lettuce, 1 tbsp Caesar Dressing, Croutons",10,Chop lettuce mix with dressing and top with croutons,Easy,Lunch,2,4,0,
Vegetable Stir Fry,"1 Cup Broccoli, 1 Carrot, 1 tbsp Soy Sauce, 1 tbsp Oil",15,Heat oil in pan add vegetables and stir fry for 10 minutes then add soy sauce,Medium,Dinner,2,4,0,
Pancakes,"1 Cup Flour, 1 Egg, 1 Cup Milk, 1 tbsp Sugar",15,Mix ingredients then cook on pan for 2 minutes each side,Easy,Breakfast,4,5,0,
Rice with Fried Egg,"1 Cup Rice, 2 Cups Water, 1 Egg, Salt",20,Cook rice then fry egg and place on top,Easy,Dinner,1,3,0,
Chocolate Mug Cake,"4 tbsp Flour, 4 tbsp Sugar, 2 tbsp Cocoa, 1 Egg, 3 tbsp Milk, 3 tbsp Oil",5,Mix all ingredients in a mug then microwave for 90 seconds,Easy,Dessert,1,4,0,
Fruit Salad,"1 Apple, 1 Banana, 1 Orange, 1 tbsp Honey",10,Chop all fruit into small pieces and mix with honey,Easy,Dessert,2,5,0,
Grilled Cheese Tomato,"2 Slices Bread, 1 Slice Cheese, 2 Slices Tomato, 1 tbsp Butter",8,Butter bread place cheese and tomato inside then grill on pan until golden,Easy,Lunch,1,4,0,
